Date,flow,average temperature (C),precipitation,ET,PET
2002-07-04,3205008000.0,19.931618775358864,3890205612.844109,36197676841.90127,46020989247.15246
2002-07-05,3229459200.0,20.16000321759183,0.0,36197676841.90127,46020989247.15246
2002-07-06,2886969600.0,20.3883876598248,0.0,36197676841.90127,46020989247.15246
2002-07-07,2519942400.0,20.61677210205776,0.0,36197676841.90127,46020989247.15246
2002-07-08,2471040000.0,20.845156544290724,3370460428.3956976,36197676841.90127,46020989247.15246
2002-07-09,2407449600.0,21.07354098652369,69245468289.57422,36197676841.90127,46020989247.15246
2002-07-10,1896134400.0000002,21.30192542875665,0.0,36197676841.90127,46020989247.15246
2002-07-11,2143238400.0,21.53030987098962,0.0,36197676841.90127,46020989247.15246
2002-07-12,1864252800.0000002,21.758694313222584,0.0,37316802824.142586,48159598149.91336
2002-07-13,1793318400.0,21.4457958734724,3884918598.2863545,37316802824.142586,48159598149.91336
2002-07-14,1685664000.0000002,21.132897433722214,395837454.713297,37316802824.142586,48159598149.91336
2002-07-15,1543795199.9999998,20.81999899397203,0.0,37316802824.142586,48159598149.91336
2002-07-16,1563321600.0,20.507100554221843,0.0,37316802824.142586,48159598149.91336
2002-07-17,1700352000.0,20.19420211447166,0.0,37316802824.142586,48159598149.91336
2002-07-18,1803168000.0,19.88130367472148,7512761139.641123,37316802824.142586,48159598149.91336
2002-07-19,1269734400.0,19.56840523497129,28025113162.16883,37316802824.142586,48159598149.91336
2002-07-20,1480204800.0000002,19.255506795221105,0.0,35871385173.434746,46468537047.710014
2002-07-21,1311379200.0,19.55001013569592,905271475.0080794,35871385173.434746,46468537047.710014
2002-07-22,1404345600.0,19.84451347617072,90737049762.5855,35871385173.434746,46468537047.710014
2002-07-23,1920585600.0,20.13901681664553,5679367716.626788,35871385173.434746,46468537047.710014
2002-07-24,2050272000.0,20.43352015712033,252210948.9217851,35871385173.434746,46468537047.710014
2002-07-25,1935273600.0,20.728023497595142,0.0,35871385173.434746,46468537047.710014
2002-07-26,1631836800.0,21.02252683806995,26197160495.197067,35871385173.434746,46468537047.710014
2002-07-27,1389657600.0,21.31703017854476,8244884718.294664,35871385173.434746,46468537047.710014
2002-07-28,2042928000.0,21.611533519019567,286037019919.5546,41014436197.07797,54275975641.41984
2002-07-29,1984176000.0,21.429309362625325,48393103523.83889,41014436197.07797,54275975641.41984
2002-07-30,2231280000.0,21.247085206231084,17238321341.60025,41014436197.07797,54275975641.41984
2002-07-31,2253312000.0,21.06486104983684,523912599.0304574,41014436197.07797,54275975641.41984
2002-08-01,2001283200.0,20.8826368934426,0.0,41014436197.07797,54275975641.41984
2002-08-02,1971907200.0,20.70041273704836,17529912390.990017,41014436197.07797,54275975641.41984
2002-08-03,1529107200.0,20.51818858065411,0.0,41014436197.07797,54275975641.41984
2002-08-04,1113177600.0,20.33596442425987,5929967569.03278,41014436197.07797,54275975641.41984
2002-08-05,1083801600.0,20.15374026786563,62393864995.02129,43057383298.68337,58750069626.74107
2002-08-06,981072000.0,20.33456701101573,0.0,43057383298.68337,58750069626.74107
2002-08-07,966384000.0,20.515393754165835,0.0,43057383298.68337,58750069626.74107
2002-08-08,973728000.0,20.69622049731593,0.0,43057383298.68337,58750069626.74107
2002-08-09,1027555200.0,20.87704724046604,0.0,43057383298.68337,58750069626.74107
2002-08-10,1064275200.0,21.05787398361614,0.0,43057383298.68337,58750069626.74107
2002-08-11,1025136000.0,21.238700726766243,0.0,43057383298.68337,58750069626.74107
2002-08-12,941932799.9999999,21.419527469916343,539122737.417214,43057383298.68337,58750069626.74107
2002-08-13,981072000.0,21.60035421306645,10804789753.28699,39758916382.25519,52884552174.86947
2002-08-14,890524800.0,21.14109697513408,0.0,39758916382.25519,52884552174.86947
2002-08-15,937008000.0,20.681839737201702,91465826845.42006,39758916382.25519,52884552174.86947
2002-08-16,971308800.0000001,20.222582499269333,43985479156.082565,39758916382.25519,52884552174.86947
2002-08-17,1215907200.0,19.76332526133696,8347114898.330145,39758916382.25519,52884552174.86947
2002-08-18,1088726400.0,19.30406802340459,0.0,39758916382.25519,52884552174.86947
2002-08-19,1034899200.0,18.844810785472216,0.0,39758916382.25519,52884552174.86947
2002-08-20,1010448000.0,18.38555354753985,0.0,39758916382.25519,52884552174.86947
2002-08-21,1169424000.0,17.926296309607473,0.0,36556091516.10562,46855978889.91956
2002-08-22,1191456000.0,18.067524441594337,112365679399.19695,36556091516.10562,46855978889.91956
2002-08-23,1215907200.0,18.2087525735812,3228317635.5153627,36556091516.10562,46855978889.91956
2002-08-24,1233100800.0,18.349980705568058,581137308.8170809,36556091516.10562,46855978889.91956
2002-08-25,1284422400.0,18.49120883755492,0.0,36556091516.10562,46855978889.91956
2002-08-26,1228176000.0,18.632436969541786,132819345.11626065,36556091516.10562,46855978889.91956
2002-08-27,1387238399.9999998,18.77366510152865,132819345.11626065,36556091516.10562,46855978889.91956
2002-08-28,1516838399.9999998,18.914893233515507,86575293288.23666,36556091516.10562,46855978889.91956
2002-08-29,1167004800.0,19.05612136550237,64356739252.5629,36056646490.96836,46200763524.19827
2002-08-30,748655999.9999999,19.311797685802134,132819345.11626065,36056646490.96836,46200763524.19827
2002-08-31,687484800.0000001,19.567474006101897,132819345.11626065,36056646490.96836,46200763524.19827
2002-09-01,1211068800.0,19.82315032640166,314965523.04311067,36056646490.96836,46200763524.19827
2002-09-02,1250208000.0,20.078826646701422,0.0,36056646490.96836,46200763524.19827
2002-09-03,1431216000.0,20.334502967001185,57919997671.41875,36056646490.96836,46200763524.19827
2002-09-04,1206144000.0,20.590179287300945,1147568068.191861,36056646490.96836,46200763524.19827
2002-09-05,1213488000.0,20.845855607600708,0.0,36056646490.96836,46200763524.19827
2002-09-06,910137600.0000001,21.10153192790047,0.0,42902283365.70491,56455970711.18301
2002-09-07,711936000.0,20.89182267593728,0.0,42902283365.70491,56455970711.18301
2002-09-08,826934400.0,20.68211342397408,0.0,42902283365.70491,56455970711.18301
2002-09-09,1162166400.0,20.472404172010883,0.0,42902283365.70491,56455970711.18301
2002-09-10,1235520000.0,20.26269492004769,0.0,42902283365.70491,56455970711.18301
2002-09-11,1169424000.0,20.05298566808449,0.0,42902283365.70491,56455970711.18301
2002-09-12,868492800.0,19.84327641612129,0.0,42902283365.70491,56455970711.18301
2002-09-13,880761600.0000001,19.63356716415809,0.0,42902283365.70491,56455970711.18301
2002-09-14,883180800.0,19.4238579121949,53501782363.55514,39592326152.20044,51952132241.918396
2002-09-15,893030400.0,18.752244131444595,163126389823.8765,39592326152.20044,51952132241.918396
2002-09-16,1333411200.0,18.080630350694285,43294663031.95964,39592326152.20044,51952132241.918396
2002-09-17,2691273600.0,17.40901656994398,0.0,39592326152.20044,51952132241.918396
2002-09-18,2426976000.0,16.737402789193673,1501744052.0575109,39592326152.20044,51952132241.918396
2002-09-19,1419033600.0,16.065789008443367,0.0,39592326152.20044,51952132241.918396
2002-09-20,1384732800.0,15.39417522769306,0.0,39592326152.20044,51952132241.918396
2002-09-21,1372550400.0,14.722561446942752,125429794.00520605,39592326152.20044,51952132241.918396
2002-09-22,1066694399.9999999,14.050947666192446,0.0,40524684475.8821,53053680280.38454
2002-09-23,1008028800.0,14.377728962655592,124214196505.1479,40524684475.8821,53053680280.38454
2002-09-24,1037318399.9999999,14.704510259118736,0.0,40524684475.8821,53053680280.38454
2002-09-25,1083801600.0,15.03129155558188,8444358969.385749,40524684475.8821,53053680280.38454
2002-09-26,1159660800.0,15.358072852045026,94754594280.67126,40524684475.8821,53053680280.38454
2002-09-27,1832457600.0,15.684854148508172,186153122022.76944,40524684475.8821,53053680280.38454
2002-09-28,1450828800.0000002,16.01163544497132,0.0,40524684475.8821,53053680280.38454
2002-09-29,2001283200.0,16.33841674143446,0.0,40524684475.8821,53053680280.38454
