Date,flow,average temperature (C),precipitation,ET,PET
2002-07-04,904373.0,16.62124792459207,0.0,3740189.057142857,6332219.542857144
2002-07-05,794018.0,16.878465181208618,0.0,3740189.057142857,6332219.542857144
2002-07-06,721345.0,17.135682437825167,0.0,3740189.057142857,6332219.542857144
2002-07-07,659439.0,17.392899694441716,0.0,3740189.057142857,6332219.542857144
2002-07-08,624448.0,17.650116951058266,15685049.571134485,3740189.057142857,6332219.542857144
2002-07-09,602915.0,17.90733420767481,0.0,3740189.057142857,6332219.542857144
2002-07-10,554467.0,18.16455146429136,0.0,3740189.057142857,6332219.542857144
2002-07-11,511401.0,18.42176872090791,0.0,3740189.057142857,6332219.542857144
2002-07-12,462953.0,18.67898597752446,0.0,2949520.357142857,4355960.357142857
2002-07-13,433345.0,18.517311618497818,0.0,2949520.357142857,4355960.357142857
2002-07-14,392971.0,18.35563725947118,0.0,2949520.357142857,4355960.357142857
2002-07-15,366056.0,18.19396290044454,0.0,2949520.357142857,4355960.357142857
2002-07-16,339140.0,18.0322885414179,0.0,2949520.357142857,4355960.357142857
2002-07-17,320299.0,17.87061418239126,3372075.1252592998,2949520.357142857,4355960.357142857
2002-07-18,306841.0,17.70893982336462,10218994.53452088,2949520.357142857,4355960.357142857
2002-07-19,288000.0,17.547265464337983,0.0,2949520.357142857,4355960.357142857
2002-07-20,269158.0,17.38559110531134,0.0,3078336.3285714285,4923967.671428571
2002-07-21,254624.0,16.949730759138177,4674505.526194298,3078336.3285714285,4923967.671428571
2002-07-22,248164.0,16.513870412965012,5152753.707980051,3078336.3285714285,4923967.671428571
2002-07-23,237398.0,16.078010066791848,0.0,3078336.3285714285,4923967.671428571
2002-07-24,222056.0,15.64214972061868,0.0,3078336.3285714285,4923967.671428571
2002-07-25,212904.0,15.206289374445516,0.0,3078336.3285714285,4923967.671428571
2002-07-26,203484.0,14.77042902827235,14675933.601396715,3078336.3285714285,4923967.671428571
2002-07-27,201330.0,14.334568682099183,0.0,3078336.3285714285,4923967.671428571
2002-07-28,195409.0,13.89870833592602,0.0,3166408.9,6542033.242857143
2002-07-29,201330.0,14.417407738218214,0.0,3166408.9,6542033.242857143
2002-07-30,215057.0,14.936107140510408,10628542.670929346,3166408.9,6542033.242857143
2002-07-31,213712.0,15.454806542802604,0.0,3166408.9,6542033.242857143
2002-08-01,210213.0,15.973505945094798,0.0,3166408.9,6542033.242857143
2002-08-02,213712.0,16.492205347386992,35472962.58202715,3166408.9,6542033.242857143
2002-08-03,205906.0,17.010904749679188,0.0,3166408.9,6542033.242857143
2002-08-04,202407.0,17.52960415197138,13453223.867174592,3166408.9,6542033.242857143
2002-08-05,199985.0,18.048303554263576,0.0,2629871.628571429,4266594.300000001
2002-08-06,186257.0,18.16961786278134,0.0,2629871.628571429,4266594.300000001
2002-08-07,176029.0,18.290932171299104,164096.0352812958,2629871.628571429,4266594.300000001
2002-08-08,168224.0,18.412246479816872,0.0,2629871.628571429,4266594.300000001
2002-08-09,160957.0,18.53356078833464,0.0,2629871.628571429,4266594.300000001
2002-08-10,156112.0,18.6548750968524,0.0,2629871.628571429,4266594.300000001
2002-08-11,154228.0,18.776189405370168,0.0,2629871.628571429,4266594.300000001
2002-08-12,150459.0,18.89750371388793,0.0,2629871.628571429,4266594.300000001
2002-08-13,150728.0,19.018818022405696,374763.2976256754,2996895.871428571,5617175.785714286
2002-08-14,164186.0,18.684713127647083,193852.38949634228,2996895.871428571,5617175.785714286
2002-08-15,188949.0,18.350608232888472,311846.8259586214,2996895.871428571,5617175.785714286
2002-08-16,186257.0,18.01650333812986,0.0,2996895.871428571,5617175.785714286
2002-08-17,184642.0,17.682398443371248,283550.7193198718,2996895.871428571,5617175.785714286
2002-08-18,180336.0,17.348293548612634,8590496.414725402,2996895.871428571,5617175.785714286
2002-08-19,177106.0,17.01418865385402,0.0,2996895.871428571,5617175.785714286
2002-08-20,173607.0,16.68008375909541,0.0,2996895.871428571,5617175.785714286
2002-08-21,168224.0,16.345978864336796,0.0,2462916.9142857143,4838913.857142857
2002-08-22,177375.0,16.571647568058843,10399236.308337461,2462916.9142857143,4838913.857142857
2002-08-23,182489.0,16.797316271780886,0.0,2462916.9142857143,4838913.857142857
2002-08-24,176568.0,17.02298497550293,0.0,2462916.9142857143,4838913.857142857
2002-08-25,170915.0,17.248653679224976,0.0,2462916.9142857143,4838913.857142857
2002-08-26,166340.0,17.474322382947022,0.0,2462916.9142857143,4838913.857142857
2002-08-27,160957.0,17.699991086669066,0.0,2462916.9142857143,4838913.857142857
2002-08-28,152343.0,17.92565979039111,0.0,2462916.9142857143,4838913.857142857
2002-08-29,146691.0,18.151328494113155,0.0,2292531.171428571,4430772.371428572
2002-08-30,149114.0,18.501539486638773,0.0,2292531.171428571,4430772.371428572
2002-08-31,148575.0,18.85175047916439,203909.71343283931,2292531.171428571,4430772.371428572
2002-09-01,142115.0,19.20196147169001,0.0,2292531.171428571,4430772.371428572
2002-09-02,138078.0,19.552172464215623,0.0,2292531.171428571,4430772.371428572
2002-09-03,136732.0,19.90238345674124,20484394.11582908,2292531.171428571,4430772.371428572
2002-09-04,130272.0,20.25259444926686,0.0,2292531.171428571,4430772.371428572
2002-09-05,124889.0,20.60280544179248,0.0,2292531.171428571,4430772.371428572
2002-09-06,118160.0,20.95301643431809,0.0,2077664.271428572,4204578.742857142
2002-09-07,112508.0,20.105730688399287,0.0,2077664.271428572,4204578.742857142
2002-09-08,109547.0,19.25844494248048,0.0,2077664.271428572,4204578.742857142
2002-09-09,108201.0,18.41115919656168,0.0,2077664.271428572,4204578.742857142
2002-09-10,107932.0,17.56387345064287,14850608.432208734,2077664.271428572,4204578.742857142
2002-09-11,117622.0,16.716587704724063,0.0,2077664.271428572,4204578.742857142
2002-09-12,108740.0,15.869301958805256,0.0,2077664.271428572,4204578.742857142
2002-09-13,101742.0,15.022016212886449,0.0,2077664.271428572,4204578.742857142
2002-09-14,98781.0,14.174730466967643,0.0,1514281.442857143,2629091.628571429
2002-09-15,97704.0,13.950670722274578,0.0,1514281.442857143,2629091.628571429
2002-09-16,92590.0,13.726610977581512,0.0,1514281.442857143,2629091.628571429
2002-09-17,85323.0,13.502551232888448,0.0,1514281.442857143,2629091.628571429
2002-09-18,79940.0,13.278491488195382,0.0,1514281.442857143,2629091.628571429
2002-09-19,75902.0,13.054431743502317,0.0,1514281.442857143,2629091.628571429
2002-09-20,91244.0,12.83037199880925,40975735.82988935,1514281.442857143,2629091.628571429
2002-09-21,116276.0,12.606312254116183,1983219.0021977767,1514281.442857143,2629091.628571429
