catchment,River,Station,Country,Latitude,Longitude,Catchment Area,Altitude (m),Number of Years,LINKNO,Ecoregion_Name,Continent,BIOME,ECO_NAME,quality,strmOrder,Magnitude,strmDrop,WSNO,length_km,drain_den,gord,PathLength,TotalLength,MeanTemp01,MeanTemp02,MeanTemp03,MeanTemp04,MeanTemp05,MeanTemp06,MeanTemp07,MeanTemp08,MeanTemp09,MeanTemp10,MeanTemp11,MeanTemp12,MeanTempAnn,MeanPrec01,MeanPrec02,MeanPrec03,MeanPrec04,MeanPrec05,MeanPrec06,MeanPrec07,MeanPrec08,MeanPrec09,MeanPrec10,MeanPrec11,MeanPrec12,MeanPrecAnn,CumPrec01,CumPrec02,CumPrec03,CumPrec04,CumPrec05,CumPrec06,CumPrec07,CumPrec08,CumPrec09,CumPrec10,CumPrec11,CumPrec12,CumPrecTotal,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,FEOW_ID,ID,cls1,cls10,cls11,cls12,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,Dam_SurfaceArea,Dam_Count,HydroLakes_Area_sqkm,MeanPopden_2000,MeanPopden_2005,MeanPopden_2010,MeanPopden_2015,MeanHumanFootprint,meanPercentDC_Imperfectly,meanPercentDC_ModeratelyWell,meanPercentDC_Poor,meanPercentDC_SomewhatExcessive,meanPercentDC_VeryPoor,meanPercentDC_Well,tempcv,precipcv,forest,otherveg,human,water,damareaN,damcountN,strmsize
1159100,ORANGE RIVER,VIOOLSDRIF (27811003),ZA,-28.757778,17.721389,867499.625,180,88,69438,Western Orange,Africa and Madagascar,Deserts and Xeric Shrublands,Nama Karoo,high,6,580,0,69438,35658.84312,0.041184591,11,19.45096588,11106.30371,28.70000076,29.79999924,29,25.60000038,21,17.29999924,17.29999924,17.79999924,20.70000076,23.29999924,25.70000076,28.70000076,23.74166663,82.06160089,82.85401161,77.68274482,42.29132894,15.18847688,7.909334831,6.57636365,10.00599626,15.52884245,39.20101291,52.70233978,59.13508032,40.92809445,71188408,71875824,67389752,36687712,13175998,6861345,5704993,8680198,13471265,34006864,45719260,51299660,426061279,194,154,55,4363,329,52,277,228,219,246,135,75,12,3,39,29,10,14,21,572,572,8.13E-07,1.48E-07,0.101263594,0.001787768,0.00030427,0.003995114,0.027141888,0.441855038,0.272348706,0.148750105,6.50E-05,0.003237814,1186.5,92,2015.888794,15.0254854,16.04825462,17.22670456,18.5854902,14.64534599,11.72331573,30.18943553,2.345840207,24.14898566,0,4.527203398,120.3222191,172.9643275,0.031442085,0.862953849,0.151987919,0.001852768,0.001367724,0.000106052,4
1159103,ORANGE RIVER,PELLA MISSION,ZA,-28.96340283,19.15192169,859920,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159110,VISRIVIER-OOS,HARDEHEUWEL (27814003),ZA,-31.806667,20.357778,1487.329712,1075,96,45398,Karoo,Africa and Madagascar,Deserts and Xeric Shrublands,Nama Karoo,high,1,1,8,45398,65.90919432,0.04276585,5,0.921404004,19.62324905,22.60000038,22.70000076,20.39999962,16.10000038,11.80000019,8.899999619,8.100000381,9.800000191,12.5,15.80000019,18.5,20.89999962,15.67500011,20.17373805,26.89719682,37.65876493,31.74682763,29.4689198,35.12469332,28.65672598,28.69841143,19.29632668,18.71138576,20.40435268,22.09463022,26.57766444,30005,40005,56011,47218,43830,52242,42622,42684,28700,27830,30348,32862,474357,153,166,54,5009,310,6,304,156,124,215,88,187,27,10,32,66,34,36,51,573,573,0,0,0.095360799,0.000359438,0,0.064511738,0.023852197,0.610649266,0.181118397,0.024741862,0,0,0,0,0.722058058,0.159027867,0.173139704,0.188539836,0.205347548,11.94376285,57.16682803,6.674277722,0,0,0,0,134.3013628,124.1710069,0.088363935,0.816509525,0.024741862,0.000359438,0,0,2
1159120,RENOSTERRIVIER,BONEKRAAL (27814011),ZA,-31.815278,20.578056,1564.883789,1140,60,46166,Karoo,Africa and Madagascar,Deserts and Xeric Shrublands,Nama Karoo,medium,1,1,83,46166,92.80219391,0.044665663,6,1.042114496,20.65442848,22.29999924,22.39999962,20,15.60000038,11.30000019,8.399999619,7.599999905,9.300000191,12.10000038,15.5,18.20000076,20.60000038,15.27500006,23.0215178,30.97674111,43.08307139,33.08232877,28.55994823,32.85419682,27.18668332,27.433347,19.9011583,21.31979399,23.68929901,25.11432496,28.01853422,36026,48475,67420,51770,44693,51413,42544,42930,31143,33363,37071,39301,526149,153,167,54,5112,311,2,309,191,123,216,86,183,29,10,34,67,32,38,45,573,573,0,0,0.056021307,8.33E-05,0,0.03090398,0.00951808,0.63402841,0.238642945,0.031205745,0,0.000498594,0,0,0,1.191658787,1.303204445,1.425199451,1.558621211,7.006649749,57.06931363,11.35132464,0,0,0,0,135.7084134,122.8013343,0.04042206,0.9038771,0.031704339,8.33E-05,0,0,2
1159125,RENOSTERRIVIER,LEEUWENKUIL,ZA,-31.43716033,20.47416897,8938,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159130,SAK,HOL PADS LEEGTE (27814016),ZA,-30.474444,20.519167,39303.46875,915,50,63822,Karoo,Africa and Madagascar,Deserts and Xeric Shrublands,Nama Karoo,high,4,29,47,63822,1620.074704,0.040380301,8,3.958950281,518.5848999,25,24.89999962,22.70000076,18.29999924,13.60000038,10.60000038,10.10000038,11.89999962,15,18.5,21.29999924,23.79999924,17.9749999,24.50211217,34.94490547,46.1667903,30.24532027,19.85310775,19.16375384,16.33092499,16.40170755,13.65324784,19.73357631,20.51223532,23.73861722,23.77052492,963018,1373456,1814515,1188746,780296,753202,641862,644644,536620,775598,806202,933010,11211169,176,174,52,5450,343,9,334,217,103,242,103,154,31,4,55,69,17,46,17,573,573,0,0,0.281487019,0.000416509,0,0.006753471,0.001925207,0.531095586,0.166939941,0.011650097,2.22E-06,6.45E-05,1.500000119,3,18.95413971,0.322399615,0.350607614,0.381428887,0.415119014,10.17639317,40.2598403,23.02939228,0.009830298,1.76085146,0,0.024629029,131.214944,138.980238,0.008678678,0.709685624,0.011714597,0.000418729,3.82E-05,7.63E-05,3
1159300,ORANGE RIVER,UPINGTON,ZA,-28.457778,21.239167,360194.9063,789,81,69126,Western Orange,Africa and Madagascar,Deserts and Xeric Shrublands,Nama Karoo,high,5,301,61,69126,14254.25575,0.039435444,9,14.85437393,4643.277832,27.5,27,24.89999962,20.89999962,16.20000076,12.80000019,12.39999962,14.30000019,18,21.5,24.20000076,26.5,20.51666673,108.5241777,108.4781026,99.44466003,54.39191298,22.22811556,11.91506577,10.39492212,17.75253866,27.26384751,64.14443846,81.88358992,89.33389517,57.97960554,39089856,39073260,35819460,19591690,8006454,4291746,3744198,6394374,9820299,23104500,29494052,32177614,250607503,192,173,53,5325,345,23,322,250,119,255,119,189,40,2,74,98,9,76,9,572,572,1.96E-06,3.55E-07,0.022153853,0.003815279,0.00058541,0.008513144,0.040190515,0.328179016,0.315850441,0.273766809,0.000156373,0.007320649,1175.300049,84,1701.187866,32.89751457,35.13010883,37.70176049,40.65997437,22.92155125,11.90412864,42.75974682,5.553330544,4.484671276,0,1.483887239,127.4753492,167.113411,0.049291029,0.917796266,0.281087458,0.003971652,0.003262956,0.000233207,4
1159301,ORANGE RIVER,PRIESKA (27815102),ZA,-29.651667,22.745833,97710.69531,928,64,68734,Western Orange,Africa and Madagascar,Deserts and Xeric Shrublands,Nama Karoo,high,5,280,0,68734,13331.40782,0.039844464,9,12.24239349,4321.478516,27,26.39999962,23.79999924,19.29999924,14.5,10.89999962,10.69999981,13,17.20000076,20.60000038,23.5,25.89999962,19.39999986,112.4078647,111.3362816,101.8196822,55.82393906,22.87360957,12.2364468,10.76269611,18.39568349,28.72588152,67.27402,85.83747225,93.23244079,60.0605015,37664988,37305928,34117160,18705168,7664359,4100119,3606303,6163921,9625305,22541796,28761932,31239796,241496775,186,164,49,5900,341,10,331,223,127,258,106,256,51,5,69,130,18,98,20,572,572,2.11E-06,3.82E-07,0.019160649,0.004058204,0.000566947,0.00892845,0.042523832,0.311275577,0.320180587,0.285751,0.000168096,0.007796355,1175.300049,84,1699.68689,35.28595275,37.67710035,40.43240522,43.60302608,23.84730869,12.00427666,42.6840837,5.969664938,3.406198513,0,1.256240267,131.2533632,166.9132057,0.052021339,0.917207164,0.293547355,0.0042263,0.00350758,0.000250691,4
1159302,ORANGE RIVER,MARKSDRIFT (27815208),ZA,-29.161944,23.695833,97710.69531,989,61,68278,Southern Temperate Highveld,Africa and Madagascar,Deserts and Xeric Shrublands,Nama Karoo,high,4,101,0,68278,4314.25339,0.044381866,8,9.730303764,1260.826904,26.39999962,25.5,22.89999962,18.70000076,14.39999962,10.69999981,10.19999981,13.19999981,16.89999962,20.70000076,23,25.29999924,18.99166656,110.7248287,123.1526084,109.1684279,61.3930336,27.28713568,17.89498063,15.95234785,27.53020016,37.74609308,74.57466122,86.4848006,92.1861826,65.34127504,10819000,12033327,10666923,5998756,2666245,1748531,1558715,2689995,3688197,7286742,8450490,9007576,76614497,185,172,52,5522,343,13,330,245,111,253,111,333,67,4,74,173,17,148,17,575,575,9.80E-07,4.52E-07,0.010059779,0.004640035,0.00045086,0.023011695,0.067441568,0.400408291,0.354740235,0.138676784,2.82E-05,0.000804929,468,25,502.11203,24.19157744,24.17635486,24.19286849,24.24153239,19.73923137,18.89582424,38.01611981,1.94909654,0.134145131,0,0.285265759,130.8022338,160.0243658,0.090905103,0.89382531,0.139481713,0.004668235,0.00478965,0.000255857,3
1159304,ORANGE RIVER,IRENE,ZA,-29.1828515,23.57510692,296170,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
