,Date,flow,average temperature (C),precipitation,ET [kg/m^2/8day],localWaterYear
151,1987-03-01,7.1,,,,1
152,1987-03-02,7.0,,,,1
153,1987-03-03,6.8,,,,1
154,1987-03-04,6.8,,,,1
155,1987-03-05,6.7,,,,1
156,1987-03-06,6.5,,,,1
157,1987-03-07,6.4,,,,1
158,1987-03-08,6.2,,,,1
159,1987-03-09,6.2,,,,1
160,1987-03-10,6.1,,,,1
161,1987-03-11,5.9,,,,1
162,1987-03-12,5.8,,,,1
163,1987-03-13,5.6,,,,1
164,1987-03-14,5.6,,,,1
165,1987-03-15,5.6,,,,1
166,1987-03-16,5.6,,,,1
167,1987-03-17,5.5,,,,1
168,1987-03-18,5.3,,,,1
169,1987-03-19,5.3,,,,1
170,1987-03-20,5.3,,,,1
171,1987-03-21,5.3,,,,1
172,1987-03-22,5.2,,,,1
173,1987-03-23,5.0,,,,1
174,1987-03-24,5.0,,,,1
175,1987-03-25,5.0,,,,1
176,1987-03-26,5.0,,,,1
177,1987-03-27,5.0,,,,1
178,1987-03-28,4.9,,,,1
179,1987-03-29,4.7,,,,1
180,1987-03-30,4.7,,,,1
181,1987-03-31,4.7,,,,1
182,1987-04-01,4.7,,,,1
183,1987-04-02,4.7,,,,1
184,1987-04-03,4.7,,,,1
185,1987-04-04,4.7,,,,1
186,1987-04-05,4.7,,,,1
187,1987-04-06,4.7,,,,1
188,1987-04-07,4.7,,,,1
189,1987-04-08,4.7,,,,1
190,1987-04-09,4.7,,,,1
191,1987-04-10,4.6,,,,1
192,1987-04-11,4.4,,,,1
193,1987-04-12,4.3,,,,1
194,1987-04-13,4.1,,,,1
195,1987-04-14,4.0,,,,1
196,1987-04-15,3.8,,,,1
197,1987-04-16,3.7,,,,1
198,1987-04-17,3.5,,,,1
199,1987-04-18,3.4,,,,1
200,1987-04-19,3.2,,,,1
201,1987-04-20,2.8,,,,1
202,1987-04-21,2.5,,,,1
203,1987-04-22,2.2,,,,1
204,1987-04-23,2.26875,,,,1
205,1987-04-24,2.3375,,,,1
206,1987-04-25,2.40625,,,,1
207,1987-04-26,2.475,,,,1
208,1987-04-27,2.54375,,,,1
209,1987-04-28,2.6125,,,,1
210,1987-04-29,2.68125,,,,1
211,1987-04-30,2.75,,,,1
212,1987-05-01,2.81875,,,,1
213,1987-05-02,2.8875,,,,1
214,1987-05-03,2.95625,,,,1
215,1987-05-04,3.025,,,,1
216,1987-05-05,3.09375,,,,1
217,1987-05-06,3.1625,,,,1
218,1987-05-07,3.23125,,,,1
219,1987-05-08,3.3,,,,1
220,1987-05-09,3.8,,,,1
221,1987-05-10,4.4,,,,1
222,1987-05-11,5.1,,,,1
223,1987-05-12,6.2,,,,1
224,1987-05-13,7.2,,,,1
225,1987-05-14,7.3,,,,1
226,1987-05-15,8.0,,,,1
